Player,mat,Inns,NO,Runs,HS,avg,BF,SR,100,50,4s,6s
Ruturaj Gaikwad,16,16,2,635,101*,45.35,466,136.26,1,4,64,23
Faf du Plessis,16,16,2,633,95*,45.21,458,138.2,0,6,60,23
KL Rahul,13,13,3,626,98*,62.6,451,138.8,0,6,48,30
Shikhar Dhawan,16,16,1,587,92,39.13,471,124.62,0,3,63,16
Glenn Maxwell,15,14,2,513,78,42.75,356,144.1,0,6,48,21
Sanju Samson,14,14,2,484,119,40.33,354,136.72,1,2,45,17
Prithvi Shaw,15,15,0,479,82,31.93,301,159.13,0,4,56,18
Shubman Gill,17,17,0,478,57,28.11,402,118.9,0,3,50,12
Mayank Agarwal,12,12,1,441,99*,40.09,314,140.44,0,4,42,18
Rishabh Pant,16,16,4,419,58*,34.91,326,128.52,0,3,42,10
Devdutt Padikkal,14,14,1,411,101*,31.61,328,125.3,1,1,44,14
Virat Kohli,15,15,1,405,72*,28.92,339,119.46,0,3,43,9
Rahul Tripathi,17,16,2,397,74*,28.35,283,140.28,0,2,41,11
Nitish Rana,17,16,3,383,80,29.46,314,121.97,0,2,34,17
Rohit Sharma,13,13,0,381,63,29.3,299,127.42,0,1,33,14
Venkatesh Iyer,10,10,1,370,67,41.11,288,128.47,0,4,37,14
Moeen Ali,15,15,1,357,58,25.5,260,137.3,0,1,31,19
Suryakumar Yadav,14,14,0,317,82,22.64,221,143.43,0,2,40,10
AB de Villiers,15,14,4,313,76*,31.3,211,148.34,0,2,23,16
Quinton de Kock,11,11,1,297,70*,29.7,256,116.01,0,2,29,7
